parl_const,parl_const_name,Average max download speed (Mbit/s) for lines <10Mbit/s,Average max download speed (Mbit/s) for lines 10<30Mbit/s,Average max download speed (Mbit/s) for lines 30<100Mbit/s,Average max download speed (Mbit/s) for lines 100<300Mbit/s,Average max download speed (Mbit/s) for lines 300<900Mbit/s,Average max download speed (Mbit/s) for lines >=900Mbit/s,Average max upload speed (Mbit/s) for lines <10Mbit/s,Average max upload speed (Mbit/s) for lines 10<30Mbit/s,Average max upload speed (Mbit/s) for lines 30<100Mbit/s,Average max upload speed (Mbit/s) for lines 100<300Mbit/s,Average max upload speed (Mbit/s) for lines 300<900Mbit/s,Average max upload speed (Mbit/s) for lines >=900Mbit/s
W07000081,Aberafan Maesteg,6,20.3,60,192,448,1086,1,2.6,13.9,24,50,110
S14000060,Aberdeen North,6.3,20,66,154,506,967,1,1.7,21.2,48,209,757
S14000061,Aberdeen South,6.7,20.8,66,153,507,966,1.3,1.6,20.4,54,238,770
S14000062,Aberdeenshire North and Moray East,7.2,22.4,62,157,498,994,0.7,1.6,14.8,29,69,115
S14000063,Airdrie and Shotts,6.1,21,63,196,452,1097,1,1.7,14.8,25,54,124
E14001063,Aldershot,6,20.5,65,198,443,982,0.9,2.1,15.4,28,61,593
E14001064,Aldridge-Brownhills,6.6,20.5,62,187,458,1075,1,1.8,14.8,26,57,123
S14000064,Alloa and Grangemouth,6.1,20.5,62,185,456,1074,1,1.8,14.9,26,55,119
E14001065,Altrincham and Sale West,6.3,20.9,65,181,471,1062,1,1.8,15.7,40,157,351
W07000082,Alyn and Deeside,6.2,20.7,63,156,499,999,1,1.8,15.7,29,70,119
E14001066,Amber Valley,6.4,21.3,61,178,468,1060,1.1,2,14.9,35,117,271
S14000065,Angus and Perthshire Glens,7.1,22.6,62,153,487,1001,0.7,1.5,14.7,29,63,117
S14000066,Arbroath and Broughty Ferry,7,21.1,62,196,452,1072,0.9,1.5,14.9,26,55,242
S14000067,"Argyll, Bute and South Lochaber",7.7,23.3,63,166,473,1027,0.6,1.1,15,28,64,118
E14001067,Arundel and South Downs,6.7,21.8,62,163,492,1016,1,2.1,14.9,43,122,382
E14001068,Ashfield,6.3,19.8,61,205,435,1116,0.9,2,14.2,24,47,111
E14001069,Ashford,6.1,21.7,62,184,462,1062,1.1,2,14.9,29,70,160
E14001070,Ashton-under-Lyne,6.8,19.7,63,187,458,1084,1.2,2.3,15.3,35,105,267
E14001071,Aylesbury,6.3,21.3,65,186,465,1022,1.1,2,15.6,34,124,361
S14000107,"Ayr, Carrick and Cumnock",6.7,21.2,62,173,467,1050,1.1,1.8,15,27,59,113
E14001072,Banbury,6.6,21.9,66,166,469,950,1.1,1.9,16,68,257,554
W07000083,Bangor Aberconwy,7.2,22,63,156,496,997,0.8,1.5,15.4,29,69,115
E14001073,Barking,5.6,20.7,63,179,476,1057,0.9,2,15,47,158,703
E14001074,Barnsley North,6.1,20.7,61,193,445,1082,1.1,2.3,15,32,92,329
E14001075,Barnsley South,5.9,20.7,60,190,453,1092,1.1,2.4,14.4,31,86,210
E14001076,Barrow and Furness,6.7,21.2,64,158,495,1001,1,1.8,15.4,30,72,119
E14001077,Basildon and Billericay,6.3,20.1,61,190,461,1074,1.1,2.1,14.7,26,60,119
E14001078,Basingstoke,5.8,21.2,65,190,464,1074,1,2.2,15.6,30,68,147
E14001079,Bassetlaw,5.9,21.2,61,179,472,1061,1.1,2.5,14.6,36,105,370
E14001080,Bath,6.6,21.7,64,186,443,1062,0.9,1.7,15.7,37,156,316
S14000068,Bathgate and Linlithgow,6.4,20.9,62,189,463,1069,0.9,1.7,14.7,27,61,126
E14001081,Battersea,6.1,21.5,67,174,471,1027,1.1,1.4,17,72,278,807
E14001082,Beaconsfield,6.8,21.1,64,177,429,1016,1.2,2,15.6,61,211,494
E14001083,Beckenham and Penge,6.2,21.6,66,202,437,1106,1.5,1.7,15.6,28,67,259
E14001084,Bedford,6.4,21.4,64,193,451,1091,1.2,2.1,15.2,25,52,109
N05000001,Belfast East,6.9,20.2,64,186,460,1069,0.8,1.2,17.2,26,57,111
N05000002,Belfast North,6.1,20.4,64,188,458,1069,0.9,1.3,15.2,25,55,110
N05000003,Belfast South and Mid Down,6,21.7,66,187,454,1059,0.8,1.2,15.9,26,58,113
N05000004,Belfast West,5.5,19.8,65,190,455,1073,0.9,1.8,15.6,26,54,109
E14001085,Bermondsey and Old Southwark,5.8,21.7,64,161,491,978,0.8,1.2,15.6,97,347,836
S14000108,"Berwickshire, Roxburgh and Selkirk",7.2,22.3,64,151,479,999,0.8,1.5,15.3,30,62,115
E14001086,Bethnal Green and Stepney,6.8,21.7,66,160,486,997,0.9,1.2,16.7,113,406,920
E14001087,Beverley and Holderness,6.3,21.1,52,149,416,913,0.9,1.2,29.7,139,386,452
E14001088,Bexhill and Battle,6.4,21.4,62,156,485,1018,1.2,2.1,14.9,68,218,622
E14001089,Bexleyheath and Crayford,6.4,20.8,64,187,467,1075,1,1.7,15.4,33,88,376
E14001090,Bicester and Woodstock,6.5,21.6,65,186,458,1025,1.1,1.8,15.8,53,230,306
E14001091,Birkenhead,6.4,20.6,62,182,472,1061,1,1.6,14.9,26,59,115
E14001092,Birmingham Edgbaston,6.6,21,62,191,455,1087,0.9,1.4,14.3,30,82,193
E14001093,Birmingham Erdington,6.5,20.1,63,195,445,1094,0.9,1.5,14.9,27,70,190
E14001094,Birmingham Hall Green and Moseley,6.4,21.3,64,193,452,1086,1.1,1.5,15.1,26,63,140
E14001095,Birmingham Hodge Hill and Solihull North,6.9,19.5,62,195,449,1098,0.9,1.6,14.5,27,63,143
E14001096,Birmingham Ladywood,6.6,21,63,179,460,1006,1,1.2,14.3,59,182,471
E14001097,Birmingham Northfield,6.8,21.1,60,197,449,1096,0.9,1.6,13.8,33,125,331
E14001098,Birmingham Perry Barr,6.4,20.3,64,190,454,1081,0.9,1.6,15.3,25,55,112
E14001099,Birmingham Selly Oak,6.8,20.9,62,193,456,1084,0.9,1.2,14.4,28,84,205
E14001100,Birmingham Yardley,6.4,19.9,63,189,458,1069,1.1,1.5,15.3,27,59,170
E14001101,Bishop Auckland,6.8,21.5,63,165,463,1042,0.8,1.8,15.1,29,63,127
E14001102,Blackburn,6.4,20.5,63,191,459,1078,1.2,2.4,15.2,41,181,447
E14001103,Blackley and Middleton South,6.6,20.8,62,190,447,1086,1,2.4,14.9,29,63,150
E14001104,Blackpool North and Fleetwood,6.4,20.5,62,181,456,1061,1.2,2.1,15.3,29,68,283
E14001105,Blackpool South,6.2,21.1,65,200,437,1109,1.2,1.8,15.6,24,48,123
W07000084,Blaenau Gwent and Rhymney,6,20,61,157,498,992,1.1,1.8,14.8,29,70,115
E14001106,Blaydon and Consett,6.7,20.8,60,191,440,1091,1.1,1.9,14.3,26,56,154
E14001107,Blyth and Ashington,6.4,20.2,62,175,459,1056,1,2.3,15.1,29,61,139
E14001108,Bognor Regis and Littlehampton,6.4,20.4,62,160,477,1026,1.1,2,15.1,40,116,584
E14001109,Bolsover,6.5,20.9,60,189,449,1080,1.1,2.2,14.4,32,80,356
E14001110,Bolton North East,6.1,20.3,64,190,452,1063,1,2,15.9,28,69,290
E14001111,Bolton South and Walkden,6.5,20.6,65,181,464,1039,1.1,1.9,16.8,29,74,372
E14001112,Bolton West,6.5,20.4,62,192,453,1069,0.9,1.8,15.3,29,74,294
E14001113,Bootle,6.5,20.2,62,191,455,1084,1,1.7,14.6,26,56,116
E14001114,Boston and Skegness,6.7,21.5,63,156,484,1012,0.9,2,15.3,61,116,718
E14001115,Bournemouth East,6.2,21.3,65,180,451,1016,1.2,1.9,18.3,34,113,662
E14001116,Bournemouth West,6.4,21.2,64,185,457,1020,1,1.9,17.3,34,108,626
E14001117,Bracknell,6,20.9,65,185,484,1040,1.1,2,16.8,53,182,577
E14001118,Bradford East,7.1,20.1,62,192,450,1071,1.1,1.8,15.2,27,72,270
E14001119,Bradford South,6.4,20.1,61,182,463,1063,1.1,1.9,15,50,223,579
E14001120,Bradford West,6.7,21.2,62,192,452,1086,1.3,1.5,14.7,47,197,427
E14001121,Braintree,6.8,22.3,64,174,459,981,0.9,1.9,15.8,84,321,469
W07000085,"Brecon, Radnor and Cwm Tawe",7.4,22.5,63,157,480,998,0.8,1.3,15.2,29,67,115
E14001122,Brent East,6.1,21.6,67,182,465,1046,1.3,2.3,16.4,65,244,786
E14001123,Brent West,5.9,21.3,66,190,456,1060,0.9,1.9,15.9,53,166,667
E14001124,Brentford and Isleworth,6,20.6,67,195,451,1051,1,1.8,16.2,49,127,435
E14001125,Brentwood and Ongar,6.6,21.7,64,175,479,1028,1.1,1.3,15.7,55,233,360
W07000086,Bridgend,6.6,20.4,62,172,461,1037,1,2.3,15,27,60,121
E14001126,Bridgwater,6.9,21.8,63,172,467,1031,0.9,1.7,15.3,48,113,158
E14001127,Bridlington and The Wolds,6.7,22.3,64,153,473,978,0.9,1.4,16.3,58,196,193
E14001128,Brigg and Immingham,6.8,21.5,63,190,441,1086,0.9,1.4,14.8,41,106,152
E14001129,Brighton Kemptown and Peacehaven,6.3,21.2,64,195,441,1071,1.1,1.8,15.6,31,77,360
E14001130,Brighton Pavilion,6.4,20.9,67,193,445,1081,0.8,1.4,16.3,26,56,189
E14001131,Bristol Central,7,21.9,67,184,459,1044,0.8,1.1,15.6,36,90,249
E14001132,Bristol East,6.9,21,64,187,459,1072,1,1.3,15.1,27,62,136
E14001133,Bristol North East,6.6,20.8,63,198,442,1106,1.2,1.7,14.6,25,50,113
